"No.","Time","Source","Destination","Protocol","Length","Info"
"834","186.740060","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"835","187.659834","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"1000","226.672485","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"1027","239.677766","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"1054","247.870224","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"1192","265.689712","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1325","300.297820","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"1327","301.426284","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"1329","302.452504","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"1353","307.671637","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"1725","364.195785","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
